特輯,欄目,題目,作者/譯者,備考,起始頁
__,__,封面,,,1
__,廣告,商務印書館發行「說部叢書第三集」第一次發售預約,,,2
__,__,婦女雜誌第二卷第八號目次,,,3
__,圖畫,宋徽宗畫白鷹,__,,5
__,圖畫,管夫人墨寶,__,,6
__,廣告,商務印書館出版教育部審定「共和國教科書」,,,7
__,廣告,商務印書館發行《英文雜誌》第二卷第七號,,,8
__,圖畫,山陰胡王詠緗之玉照,__,,9
__,圖畫,理想中之消夏灣(其一),__,,10
__,廣告,商務印書館發行教育部審定「中學共和國教科書」,,,11
__,廣告,商務印書館發行涵芬樓影印《殿版二十四史》,,,12
__,圖畫,理想中之消夏灣(其二),__,,13
__,圖畫,盛競存女士小影,__,,14
__,廣告,商務印書館發行《英語週刊》,,,15
__,廣告,欲修英文者請看「五閱月便能通文法作繙譯看英文書」,,,16
__,圖畫,俄國皇后及公主為病院中傷兵看護圖,__,,17
__,圖畫,上海南洋女子師範及旅滬公學旅行湖州攝影,__,,18
__,廣告,商務印書館「女子必讀之書」,,,20
__,社說,基礎之基礎,朱胡彬夏,,21
__,廣告,商務印書館出版教育部審定《手工平面物標本》及相關學校用書,,,34
__,學藝門,神通力治病法,日本文學博士福來友吉著、倚鸞〔譯〕,,35
__,學藝門,女學生病之預防,汪克成,,36
__,學藝門,女子實用家庭算術問題,吳江同里麗則女學校王鳳彬,,38
__,學藝門,"天文界中女子將來之事業(China Press. July,12,1916,P7)",瑞琛〔譯〕,,41
__,補白,西神客話,__,,42
__,廣告,商務印書館發行「教育叢書」第一集第二集出版,,,44
__,家政門,母愛與父愛,倚鸞,,45
__,家政門,新烹飪(續一卷九號),朱夢梅,,49
__,家政門,家庭教育之根本大問題育兒要訣,李公耳,,54
__,廣告,商務印書館發行梁任公先生編定《飲冰室叢箸》,,,62
__,記述門,女警察,亨雷路得原著、陽湖惱儂節譯,,63
__,記述門,東吳大學與聖約翰大學辨論會匯記,盛競存,,67
__,記述門,暑假中之蒙古遊記,勃雷騰女士原著、惱儂、西神同譯,,73
__,廣告,商務印書館發行《東方雜誌》十三卷第七號出版,,,84
__,中外大事記,要令六月二十一至七月二十日,真言,,85
__,中外大事記,孫中山先生建設政見錄申報,__,,89
__,廣告,商務印書館發行「作文之好楷模」《初學作文教授書四冊》,,,96
__,國文範作,知禍福均由自取而迷信自破說,河南省立女師範畢業生邊書怡,,97
__,國文範作,讀前後赤壁賦序,河南省立女師範畢業生湯潕筠,,98
__,國文範作,所貴乎天下士者為能排難解紛而無所取論,河南省立女師範畢業生丁世英,,98
__,國文範作,介子推論,河南省立女師範畢業生凌庭饒,,99
__,國文範作,緹縈上書救父而除肉刑論二篇,河南省立女師範畢業生薛聲巽、李文煜,,100
__,國文範作,讀曾子固列女傳目錄序書後三篇,吳江私立麗則女子中學一年級生金蘅﹑陸振權﹑殷同薇及教員錢基博,,102
__,國文範作,春雨箋候友人四篇,吳江私立麗則女子中學一年級生金蘅﹑陸振權﹑殷同薇﹑錢經紳,,105
__,國文範作,徵同學文藝啟,四川女師範學生逸雲,,107
__,廣告,婦女雜誌「本社通信」,,,108
__,廣告,商務印書館發行《影印殿版四史》,,,110
__,文苑,先母孫宜人述,錢基博,,111
__,文苑,感逝詩序,王縑,,114
__,補白,黃棟頭歌,__,,116
__,廣告,商務印書館發行小說月報七卷第七號出版廣告,,,118
__,小說,新劇捉迷藏,孟純譯,,119
__,小說,玉京餘韻,華潛鱗女史著,,131
__,小說,慕凡女兒傳卷下(續),胡寄塵,,140
__,補白,西神客話,__,,144
__,廣告,「畫片大徵集」、「第六期徵對揭曉楚國賢賢賢子文」,,,146
__,雜俎,清代女記,常熟龐樹柏,,147
__,雜俎,玉臺藝乘(續),蓴農,,151
__,雜俎,然脂餘韻(續),蓴農,,156
__,補白,文房供養,__,,158
__,廣告,閒中消遣最好方法莫如看商務印書館各種小說,,,160
__,廣告,商務印書館發行《教育雜誌》、《學生雜誌》、《少年雜誌》,,,165
__,餘興,學校遊戲法(續),楊瑞英,,161
__,廣告,商務印書館「國民學校用」《新字帖》、《蒙求字樣》、《實用習字教授書》、《習字帖》、《習字範本》,,,166
__,廣告,商務印書館發售《製絲教科書》、「自製蠶學用器」,,,167
__,廣告,商務印書館出版《辭源》「網羅萬有」,,,168
__,廣告,商務印書館出版梁任公新著《國民淺訓》,,,169
__,廣告,「夫妻共沾勿藥之喜」韋廉士大醫生紅色補丸,,,170
