615,314,640,680,1
692,800,710,844,1
572,764,597,846,1
523,202,539,535,1
496,172,509,534,1
467,176,481,536,1
440,175,453,536,1
411,171,427,535,1
383,173,397,536,1
356,175,370,534,1
328,175,341,536,1
300,175,315,369,1
271,199,286,535,1
244,175,257,425,1
216,204,231,535,1
187,171,200,535,1
161,171,174,536,1
132,176,147,536,1
524,564,540,927,1
496,563,511,926,1
468,561,482,926,1
439,563,455,787,1
414,596,427,928,1
384,578,399,924,1
357,577,372,927,1
328,577,342,924,1
301,579,315,856,1
273,603,285,925,1
244,577,258,927,1
217,577,230,923,1
187,574,201,925,1
159,575,173,924,1
132,575,144,925,1
315,141,494,154,2
367,939,445,951,2
