679,185,693,571,1
652,187,667,572,1
626,187,642,571,1
600,188,614,559,1
577,185,591,429,1
535,278,554,432,1
504,219,518,367,1
478,215,492,355,1
450,215,466,309,1
424,215,440,310,1
398,215,414,535,1
335,152,482,164,1
372,216,388,322,1
335,279,355,397,1
304,216,320,276,1
277,217,293,321,1
253,221,267,296,1
225,215,240,387,1
190,277,208,432,1
157,218,171,351,1
120,152,167,164,1
136,218,149,319,1
113,215,129,404,1
680,631,695,983,1
654,599,668,983,1
627,601,642,976,1
601,601,615,712,1
578,873,594,918,1
538,850,554,894,1
505,631,520,782,1
479,630,493,793,1
454,630,468,789,1
427,629,442,786,1
402,627,414,784,1
374,627,389,886,1
339,846,357,894,1
252,629,271,874,1
282,631,294,786,1
308,631,322,773,1
229,629,243,924,1
192,847,210,893,1
158,627,175,720,1
138,627,151,790,1
113,626,130,834,1
368,995,449,1008,2
