469,180,491,444,1
433,164,447,466,1
405,137,418,466,1
376,136,391,467,1
347,135,363,451,1
318,162,332,466,1
290,136,304,465,1
262,136,275,465,1
231,137,246,466,1
203,137,218,466,1
175,136,189,466,1
147,136,161,379,1
117,161,133,465,1
93,224,104,496,1
492,510,505,837,1
463,509,476,766,1
434,538,449,837,1
406,510,420,836,1
376,510,391,825,1
347,510,361,836,1
320,510,333,836,1
290,509,306,835,1
262,508,275,835,1
234,509,247,836,1
204,510,219,836,1
176,509,190,835,1
148,509,163,836,1
120,508,133,838,1
94,795,105,816,1
