669,462,712,895,1
539,355,567,384,1
430,355,461,389,1
324,358,350,387,1
598,553,618,782,1
532,470,560,529,1
603,860,628,941,1
547,745,566,1046,1
514,761,532,940,1
482,465,502,720,1
449,438,469,550,1
418,416,434,717,1
385,436,400,719,1
351,439,368,719,1
318,438,334,651,1
269,472,293,528,1
218,466,238,888,1
483,781,500,994,1
449,783,467,940,1
418,785,432,1044,1
383,765,401,923,1
351,745,368,1044,1
318,762,336,1044,1
284,762,303,851,1
251,790,268,875,1
188,772,203,1044,1
151,762,171,869,1
185,474,202,550,1
152,416,171,545,1
119,198,133,570,1
414,748,502,766,2
185,741,240,765,2
