454,459,469,506,1
411,186,428,533,1
383,189,401,546,1
330,170,348,546,1
173,171,185,545,1
144,171,158,545,1
632,766,642,786,1
604,577,619,950,1
577,574,593,678,1
549,588,564,946,1
521,574,536,948,1
494,577,508,950,1
467,572,480,948,1
439,574,454,948,1
414,573,428,948,1
280,574,295,946,1
253,572,269,947,1
226,572,241,947,1
199,572,214,917,1
171,586,189,947,1
146,576,160,947,1
198,175,212,544,1
224,173,238,546,1
252,173,266,544,1
278,176,294,544,1
305,172,320,544,1
358,171,373,546,1
636,262,644,518,1
448,215,468,324,1
540,310,569,471,1
346,618,365,728,1
349,858,362,902,1
388,575,401,761,1
307,590,322,943,1
