596,236,610,664,1
594,737,612,756,1
528,264,556,695,1
533,756,555,820,1
478,184,494,301,1
446,150,464,523,1
413,147,431,522,1
381,147,399,523,1
351,147,367,522,1
320,147,337,525,1
288,147,305,523,1
258,147,274,504,1
226,149,246,525,1
193,149,212,521,1
163,151,182,523,1
132,149,149,525,1
99,151,118,523,1
475,552,493,926,1
443,551,461,799,1
413,554,428,916,1
381,552,400,931,1
349,552,367,930,1
319,552,337,927,1
288,551,307,927,1
258,555,276,928,1
226,558,244,927,1
196,558,213,927,1
163,556,180,928,1
133,556,150,928,1
99,552,119,927,1
