697,117,715,157,1
663,152,681,562,1
629,118,646,560,1
557,189,589,561,1
498,149,515,561,1
464,115,481,514,1
431,151,450,562,1
397,115,416,265,1
364,149,382,561,1
330,115,352,246,1
298,151,315,558,1
263,114,280,199,1
231,149,248,558,1
198,118,214,557,1
165,114,181,471,1
131,151,147,557,1
94,111,112,245,1
695,601,713,873,1
661,783,681,964,1
554,850,579,931,1
495,636,515,1034,1
463,595,480,1044,1
429,597,448,1034,1
396,594,413,770,1
362,635,379,1044,1
330,598,346,1035,1
296,597,313,1037,1
263,595,279,1038,1
228,592,246,1044,1
195,598,215,1029,1
164,631,181,1042,1
130,592,147,1042,1
95,592,114,708,1
95,742,114,868,1
111,70,310,85,2
130,1059,238,1075,2
