703,187,719,478,1
598,302,630,336,1
599,387,627,421,1
481,134,505,406,1
435,79,453,150,1
401,97,418,540,1
366,82,383,540,1
335,77,354,117,1
301,93,316,539,1
267,82,281,537,1
232,79,250,540,1
201,79,215,539,1
166,79,181,541,1
132,77,150,540,1
98,80,114,543,1
665,577,681,1041,1
630,577,646,1038,1
595,577,615,1037,1
565,574,581,1037,1
530,575,547,858,1
495,620,515,1034,1
463,591,480,1037,1
430,596,447,1035,1
395,595,415,1038,1
361,592,378,1038,1
328,589,346,1035,1
295,594,312,752,1
264,612,281,893,1
231,613,246,1032,1
194,629,214,771,1
163,632,177,1034,1
128,630,146,1037,1
93,630,111,1039,1
